Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 07, 2022","3,706.74","3,706.74","3,620.73","3,639.66","3,639.66","2,716,138,000"
"Oct 03, 2022","3,609.78","3,806.91","3,604.93","3,639.66","3,639.66","22,948,200,000"
"Sep 26, 2022","3,682.72","3,736.74","3,584.13","3,585.62","3,585.62","24,475,900,000"
"Sep 19, 2022","3,849.91","3,907.07","3,647.47","3,693.23","3,693.23","21,332,100,000"
"Sep 12, 2022","4,083.67","4,119.28","3,837.08","3,873.33","3,873.33","24,728,470,000"
"Sep 05, 2022","3,930.89","4,076.81","3,886.75","4,067.36","4,067.36","15,886,450,000"
"Aug 29, 2022","4,034.58","4,062.99","3,903.65","3,924.26","3,924.26","17,840,950,000"
"Aug 22, 2022","4,195.08","4,203.04","4,057.66","4,057.66","4,057.66","15,691,240,000"
"Aug 15, 2022","4,269.37","4,325.28","4,218.70","4,228.48","4,228.48","16,255,850,000"
"Aug 08, 2022","4,155.93","4,280.47","4,112.09","4,280.15","4,280.15","18,117,740,000"
"Aug 01, 2022","4,112.38","4,167.66","4,079.81","4,145.19","4,145.19","18,072,230,000"
"Jul 25, 2022","3,965.72","4,140.15","3,910.74","4,130.29","4,130.29","17,356,830,000"
"Jul 18, 2022","3,883.79","4,012.44","3,818.63","3,961.63","3,961.63","16,859,220,000"
"Jul 11, 2022","3,880.94","3,880.94","3,721.56","3,863.16","3,863.16","16,313,500,000"
"Jul 04, 2022","3,792.61","3,918.50","3,742.06","3,899.38","3,899.38","14,223,350,000"
"Jun 27, 2022","3,920.76","3,945.86","3,738.67","3,825.33","3,825.33","17,735,450,000"
"Jun 20, 2022","3,715.31","3,913.65","3,715.31","3,911.74","3,911.74","19,287,840,000"
"Jun 13, 2022","3,838.15","3,838.15","3,636.87","3,674.84","3,674.84","24,639,140,000"
"Jun 06, 2022","4,134.72","4,168.78","3,900.16","3,900.86","3,900.86","17,547,150,000"
"May 30, 2022","4,151.09","4,177.51","4,073.85","4,108.54","4,108.54","16,049,940,000"
"May 23, 2022","3,919.42","4,158.49","3,875.13","4,158.24","4,158.24","19,139,100,000"
"May 16, 2022","4,013.02","4,090.72","3,810.32","3,901.36","3,901.36","20,590,520,000"
"May 09, 2022","4,081.27","4,081.27","3,858.87","4,023.89","4,023.89","23,166,570,000"
"May 02, 2022","4,130.61","4,307.66","4,062.51","4,123.34","4,123.34","21,039,720,000"
"Apr 25, 2022","4,255.34","4,308.45","4,124.28","4,131.93","4,131.93","19,610,750,000"
"Apr 18, 2022","4,385.63","4,512.94","4,267.62","4,271.78","4,271.78","18,149,540,000"
"Apr 11, 2022","4,462.64","4,471.00","4,381.34","4,392.59","4,392.59","13,812,410,000"
"Apr 04, 2022","4,547.97","4,593.45","4,450.04","4,488.28","4,488.28","19,383,860,000"
"Mar 28, 2022","4,541.09","4,637.30","4,507.57","4,545.86","4,545.86","19,212,230,000"
"Mar 21, 2022","4,462.40","4,546.03","4,424.30","4,543.06","4,543.06","19,089,240,000"
"Mar 14, 2022","4,202.75","4,465.40","4,161.72","4,463.12","4,463.12","24,946,690,000"
"Mar 07, 2022","4,327.01","4,327.01","4,157.87","4,204.31","4,204.31","23,849,630,000"
"Feb 28, 2022","4,354.17","4,416.78","4,279.54","4,328.87","4,328.87","22,302,830,000"
"Feb 21, 2022","4,332.74","4,385.34","4,114.65","4,384.65","4,384.65","16,834,460,000"
"Feb 14, 2022","4,412.61","4,489.55","4,327.22","4,348.87","4,348.87","17,775,970,000"
